zip_code,label,department_name,department_number,region_name
39800,plasne,jura,39,bourgogne-franche-comté
39570,poids de fiole,jura,39,bourgogne-franche-comté
39800,poligny,jura,39,bourgogne-franche-comté
39300,pont du navoy,jura,39,bourgogne-franche-comté
39120,rahon,jura,39,bourgogne-franche-comté
39190,rotalier,jura,39,bourgogne-franche-comté
39270,rothonay,jura,39,bourgogne-franche-comté
39350,rouffange,jura,39,bourgogne-franche-comté
39220,les rousses,jura,39,bourgogne-franche-comté
39400,les rousses,jura,39,bourgogne-franche-comté
39190,ste agnes,jura,39,bourgogne-franche-comté
39200,st claude,jura,39,bourgogne-franche-comté
39600,st cyr montmalin,jura,39,bourgogne-franche-comté
39570,st didier,jura,39,bourgogne-franche-comté
39320,val suran,jura,39,bourgogne-franche-comté
39320,val suran,jura,39,bourgogne-franche-comté
39170,coteaux du lizon,jura,39,bourgogne-franche-comté
39570,st maur,jura,39,bourgogne-franche-comté
39130,st maurice crillat,jura,39,bourgogne-franche-comté
39700,salans,jura,39,bourgogne-franche-comté
39380,santans,jura,39,bourgogne-franche-comté
39270,sarrogna,jura,39,bourgogne-franche-comté
39130,songeson,jura,39,bourgogne-franche-comté
39130,soucia,jura,39,bourgogne-franche-comté
39380,souvans,jura,39,bourgogne-franche-comté
39120,tassenieres,jura,39,bourgogne-franche-comté
39270,la tour du meix,jura,39,bourgogne-franche-comté
39570,trenal,jura,39,bourgogne-franche-comté
39570,verges,jura,39,bourgogne-franche-comté
39800,villerserine,jura,39,bourgogne-franche-comté
39600,villette les arbois,jura,39,bourgogne-franche-comté
39230,le villey,jura,39,bourgogne-franche-comté
39190,val sonnette,jura,39,bourgogne-franche-comté
39190,val sonnette,jura,39,bourgogne-franche-comté
39230,vincent froideville,jura,39,bourgogne-franche-comté
39240,vosbles valfin,jura,39,bourgogne-franche-comté
58270,anlezy,nièvre,58,bourgogne-franche-comté
58800,anthien,nièvre,58,bourgogne-franche-comté
58430,arleuf,nièvre,58,bourgogne-franche-comté
58420,asnan,nièvre,58,bourgogne-franche-comté
58110,aunay en bazois,nièvre,58,bourgogne-franche-comté
58110,biches,nièvre,58,bourgogne-franche-comté
58270,billy chevannes,nièvre,58,bourgogne-franche-comté
58120,blismes,nièvre,58,bourgogne-franche-comté
58530,breves,nièvre,58,bourgogne-franche-comté
58000,challuy,nièvre,58,bourgogne-franche-comté
58700,champlin,nièvre,58,bourgogne-franche-comté
58300,champvert,nièvre,58,bourgogne-franche-comté
58800,chaumot,nièvre,58,bourgogne-franche-comté
58350,colmery,nièvre,58,bourgogne-franche-comté
58800,corbigny,nièvre,58,bourgogne-franche-comté
58300,cossaye,nièvre,58,bourgogne-franche-comté
58190,dirol,nièvre,58,bourgogne-franche-comté
58120,dommartin,nièvre,58,bourgogne-franche-comté
58140,empury,nièvre,58,bourgogne-franche-comté
58800,epiry,nièvre,58,bourgogne-franche-comté
58600,garchizy,nièvre,58,bourgogne-franche-comté
58300,lamenay sur loire,nièvre,58,bourgogne-franche-comté
58140,lormes,nièvre,58,bourgogne-franche-comté
58380,lucenay les aix,nièvre,58,bourgogne-franche-comté
58260,la machine,nièvre,58,bourgogne-franche-comté
58400,mesves sur loire,nièvre,58,bourgogne-franche-comté
58190,metz le comte,nièvre,58,bourgogne-franche-comté
58140,mhere,nièvre,58,bourgogne-franche-comté
58190,moissy moulinot,nièvre,58,bourgogne-franche-comté
58250,montaron,nièvre,58,bourgogne-franche-comté
58130,montigny aux amognes,nièvre,58,bourgogne-franche-comté
58230,montsauche les settons,nièvre,58,bourgogne-franche-comté
58700,moussy,nièvre,58,bourgogne-franche-comté
58450,neuvy sur loire,nièvre,58,bourgogne-franche-comté
58320,parigny les vaux,nièvre,58,bourgogne-franche-comté
58220,perroy,nièvre,58,bourgogne-franche-comté
58200,pougny,nièvre,58,bourgogne-franche-comté
58400,raveau,nièvre,58,bourgogne-franche-comté
58500,rix,nièvre,58,bourgogne-franche-comté
58110,rouy,nièvre,58,bourgogne-franche-comté
58470,saincaize meauce,nièvre,58,bourgogne-franche-comté
58310,st amand en puisaye,nièvre,58,bourgogne-franche-comté
58150,st andelain,nièvre,58,bourgogne-franche-comté
58130,st aubin les forges,nièvre,58,bourgogne-franche-comté
58270,st benin d azy,nièvre,58,bourgogne-franche-comté
58230,st brisson,nièvre,58,bourgogne-franche-comté
58220,ste colombe des bois,nièvre,58,bourgogne-franche-comté
58190,st didier,nièvre,58,bourgogne-franche-comté
58210,st germain des bois,nièvre,58,bourgogne-franche-comté
58120,st hilaire en morvan,nièvre,58,bourgogne-franche-comté
58130,st martin d heuille,nièvre,58,bourgogne-franche-comté
58490,st parize le chatel,nièvre,58,bourgogne-franche-comté
58110,st pereuse,nièvre,58,bourgogne-franche-comté
58210,st pierre du mont,nièvre,58,bourgogne-franche-comté
58330,st saulge,nièvre,58,bourgogne-franche-comté
58190,saizy,nièvre,58,bourgogne-franche-comté
58160,sauvigny les bois,nièvre,58,bourgogne-franche-comté
58170,savigny poil fol,nièvre,58,bourgogne-franche-comté
58290,sermages,nièvre,58,bourgogne-franche-comté
58300,sougy sur loire,nièvre,58,bourgogne-franche-comté
58420,taconnay,nièvre,58,bourgogne-franche-comté
58110,tamnay en bazois,nièvre,58,bourgogne-franche-comté
58250,ternant,nièvre,58,bourgogne-franche-comté
58110,tintury,nièvre,58,bourgogne-franche-comté
