zip_code,latitude,longitude,department_number
25640,47.411804323,6.178688683,25
21320,47.225573152,4.577089304,21
25210,47.1437117,6.64898873,25
21310,47.381144047,5.247393652,21
25360,47.244707947,6.235312183,25
21410,47.32078525,4.79419131,21
25250,47.488558803,6.49702847,25
21230,47.084238392,4.505907144,21
25320,47.151628838,5.901267004,25
21700,47.121976714,4.862683586,21
25640,47.31222585,6.086497911,25
2390,49.850896781,3.526844873,02
21120,47.59417997,5.082084249,21
25440,47.05776022,5.863897361,25
2540,48.946806275,3.432389762,02
21150,47.455503264,4.453561903,21
25380,47.215946125,6.617164131,25
2600,49.289955909,3.173881398,02
21380,47.44062342,5.096647574,21
25240,46.746807485,6.241344569,25
2210,49.176189285,3.327121891,02
21510,47.709396164,4.703644119,21
25640,47.398298953,6.245193749,25
2400,49.108710064,3.294180596,02
21190,47.034824113,4.720225434,21
25220,47.256765757,6.066057384,25
2250,49.687518692,3.918828212,02
21430,47.133486414,4.152733668,21
25170,47.254901313,5.892782613,25
2270,49.7148469,3.583773712,02
21340,47.010730075,4.580296019,21
25240,46.606943416,6.108095211,25
2220,49.274753931,3.64211898,02
21360,47.061344853,4.666698056,21
25140,47.201962155,6.842410599,25
2360,49.754627779,4.076628621,02
21610,47.568488741,5.450612855,21
25140,47.201962155,6.842410599,25
2270,49.693082652,3.663838907,02
21400,47.894650025,4.560212903,21
25290,47.083352652,6.111262051,25
2160,49.35924231,3.743982155,02
21290,47.730124796,4.793899388,21
25650,47.019312756,6.414706314,25
2210,49.190781658,3.412286837,02
21150,47.52155977,4.44461305,21
25440,47.138387489,5.974503724,25
2300,49.676112934,3.156015287,02
21190,47.034340011,4.759370439,21
25620,47.22051727,6.156411489,25
2100,49.820937959,3.333707351,02
21390,47.346351689,4.409463506,21
25870,47.331321615,5.999890873,25
2860,49.469077479,3.699581712,02
21340,46.959088382,4.619842173,21
25420,47.49512739,6.78467435,25
2880,49.454931094,3.39840909,02
21490,47.406804735,5.069716471,21
